Mentor_Id,UDISE
955243,9670201401
955243,9670402302
955243,9670410001
955243,9670610701
955243,9670611201
955244,9670201301
955244,9670201401
955244,9670402302
955244,9670410001
955244,9670610701
955244,9670611201
955245,9670509201
955245,9670509301
955245,9670603101
955245,9670603501
955245,9670801901
955245,9670802401
955251,9670511001
955251,9670715501
955251,9670719401
955251,9670809201
955251,9670809601
955253,9670105502
955253,9670106301
955253,9670502701
955253,9670512801
955253,9670705401
955253,9670710501
955259,9670506001
955259,9670518902
955259,9670707801
955259,9670712301
955259,9670809801
955259,9670809901
955260,9670505601
955260,9670603901
955260,9670808001
955268,9670203801
955268,9670300701
955268,9670300801
955268,9670407501
955268,9670408801
955276,9670202501
955276,9670406501
955276,9670406701
955276,9670617301
955280,9670105401
955280,9670112603
955280,9670502502
955280,9670513801
955280,9670705101
955280,9670705201
955289,9670211201
955289,9670911101
955289,9670911301
955296,9670206102
955296,9670206502
955296,9670305301
955296,9670305401
955297,9670507001
955297,9670507901
955297,9670709701
955297,9670804301
955297,9670804401
955303,9670203801
955303,9670300701
955303,9670300801
955303,9670407501
955303,9670408801
955304,9670200501
955304,9670200801
955304,9670609901
955304,9670614001
955304,9671000601
955306,9670211201
955306,9670911101
955306,9670911301
955315,9670506001
955315,9670518902
955315,9670707801
955315,9670712301
955315,9670809801
955315,9670809901
955319,9670205601
955319,9670205602
955319,9670304901
955319,9670305001
955319,9670905101
955327,9670508601
955327,9670508901
955327,9670605101
955327,9670605202
955327,9670807101
955327,9670807201
955340,9670904401
955356,9670505701
955356,9670505801
955356,9670707202
955356,9670709901
955356,9670806401
955356,9670806902
955358,9670904401
955361,9670202201
955361,9670213801
955361,9670406002
955361,9670411301
955361,9670601301
955361,9670614801
955366,9670105301
955366,9670109801
955366,9670502001
955366,9670513901
955366,9670704401
955366,9670704501
955373,9670200301
955373,9670211801
955373,9670609601
955373,9670609701
955376,9670202201
955376,9670213801
955376,9670406002
955376,9670411301
955376,9670601301
955376,9670614801
955377,9670201801
955377,9670201901
955377,9670402901
955377,9670406901
955377,9670612901
955383,9670105401
955383,9670112603
955383,9670502502
955383,9670513801
955383,9670705101
955383,9670705201
955390,9670514601
955390,9670708601
955390,9670709101
955390,9670806701
955390,9670806802
955392,9670201801
955392,9670201901
955392,9670402901
955392,9670406901
955392,9670612901
955401,9670203501
955401,9670204101
955401,9670302101
955401,9670901101
955402,9670203501
955402,9670204101
955402,9670302101
955402,9670901101
955726,9550900301
955726,9550906202
955767,9550504601
955767,9550512601
955767,9550518501
955786,9550900301
955786,9550906202
955862,9660502801
955862,9660503501
955862,9660503701
955862,9660503902
955862,9660504901
955862,9660510501
955862,9660510901
955875,9660502801
955875,9660503501
955875,9660503701
955875,9660503902
955875,9660504901
955875,9660510501
955875,9660510901
956039,9320609901
956039,9320610502
956039,9320611601
956134,9170604806
956147,9170604806
956147,9171310501
956166,9721406301
956166,9721408501
956177,9721001401
956177,9721004701
956177,9721005402
956177,9721006401
956177,9721007001
956177,9721008701
956177,9721009502
956186,9721401601
956186,9721406301
956186,9721408501
956186,9721409903
956494,9390400402
956721,9642006702
956721,9642006901
956721,9642007602
956721,9642011901
956721,9642013901
956794,9641803402
956794,9641803502
956794,9641803801
956794,9641803902
956794,9641804201
956794,9641804301
956794,9641804501
956794,9641804702
956794,9641804902
956796,9641803402
956796,9641803502
956796,9641803801
956796,9641803902
956796,9641804201
956796,9641804301
956796,9641804501
956796,9641804702
956796,9641804902
956842,9642006702
956842,9642006901
956842,9642007602
956842,9642011901
956842,9642013901
957229,9410401606
957229,9410401608
957229,9410402004
957229,9410402101
957229,9410402302
957229,9410403301
957237,9410505302
957237,9410506105
957237,9410506801
957267,9410500104
957267,9410500107
957267,9410500202
957267,9410500404
957267,9410501905
957293,9410401606
957293,9410401608
957293,9410402004
957293,9410402101
957293,9410402302
957293,9410403301
957295,9410201503
957295,9410206003
957295,9410206602
957295,9410206701
957295,9410207602
957296,9410304101
957296,9410304112
957296,9410304506
957296,9410304801
957312,9410300304
957312,9410301305
957312,9410301502
957312,9410301505
957312,9410301508
957312,9410301603
957317,9410300304
957317,9410301305
957317,9410301502
957317,9410301505
957317,9410301508
957317,9410301603
957318,9410201503
957318,9410206003
957318,9410206602
957318,9410206701
957318,9410207602
957364,9650214301
957364,9650214502
957364,9650214601
